,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
111,810,2023020001,2,2023-10-10,OFF,18,NSH,3.0,14,TBL,5.0,14,18,False,False
112,1430,2023020002,2,2023-10-10,OFF,16,CHI,4.0,5,PIT,2.0,16,5,False,False
113,7,2023020003,2,2023-10-10,OFF,55,SEA,1.0,54,VGK,4.0,54,55,False,False
114,721,2023020004,2,2023-10-11,OFF,9,OTT,3.0,12,CAR,5.0,12,9,False,False
115,186,2023020005,2,2023-10-11,OFF,8,MTL,5.0,10,TOR,6.0,10,8,False,False
116,986,2023020006,2,2023-10-11,OFF,16,CHI,1.0,6,BOS,3.0,6,16,False,False
117,454,2023020007,2,2023-10-11,OFF,52,WPG,3.0,20,CGY,5.0,20,52,False,False
118,364,2023020008,2,2023-10-11,OFF,21,COL,5.0,26,LAK,2.0,21,26,False,False
119,276,2023020009,2,2023-10-11,OFF,22,EDM,1.0,23,VAN,8.0,23,22,False,False
120,1253,2023020010,2,2023-10-12,OFF,3,NYR,5.0,7,BUF,1.0,3,7,False,False
121,1610,2023020011,2,2023-10-12,OFF,4,PHI,4.0,29,CBJ,2.0,4,29,False,False
122,96,2023020012,2,2023-10-12,OFF,17,DET,3.0,1,NJD,4.0,1,17,False,False
123,543,2023020013,2,2023-10-12,OFF,19,STL,1.0,25,DAL,2.0,25,19,False,False
124,633,2023020014,2,2023-10-12,OFF,13,FLA,0.0,30,MIN,2.0,30,13,False,False
125,1342,2023020015,2,2023-10-12,OFF,55,SEA,0.0,18,NSH,3.0,18,55,False,False
126,8,2023020016,2,2023-10-12,OFF,54,VGK,4.0,28,SJS,1.0,54,28,False,False
127,97,2023020017,2,2023-10-13,OFF,53,ARI,4.0,1,NJD,3.0,53,1,False,False
128,1431,2023020018,2,2023-10-13,OFF,5,PIT,4.0,15,WSH,0.0,5,15,False,False
129,1701,2023020019,2,2023-10-14,OFF,4,PHI,2.0,9,OTT,5.0,9,4,False,False
