,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
106,2044,2024020001,2,2024-10-04,FUT,1,NJD,,7,BUF,,0,0,False,False
107,2045,2024020002,2,2024-10-05,FUT,7,BUF,,1,NJD,,0,0,False,False
108,1779,2024020003,2,2024-10-08,FUT,19,STL,,55,SEA,,0,0,False,False
109,97,2024020004,2,2024-10-08,FUT,6,BOS,,13,FLA,,0,0,False,False
110,1334,2024020005,2,2024-10-08,FUT,16,CHI,,59,UTA,,0,0,False,False
111,630,2024020006,2,2024-10-09,FUT,10,TOR,,8,MTL,,0,0,False,False
112,186,2024020007,2,2024-10-09,FUT,3,NYR,,5,PIT,,0,0,False,False
113,1602,2024020008,2,2024-10-09,FUT,52,WPG,,22,EDM,,0,0,False,False
114,542,2024020009,2,2024-10-09,FUT,20,CGY,,23,VAN,,0,0,False,False
115,894,2024020010,2,2024-10-09,FUT,21,COL,,54,VGK,,0,0,False,False
116,98,2024020011,2,2024-10-10,FUT,8,MTL,,6,BOS,,0,0,False,False
117,1955,2024020012,2,2024-10-10,FUT,26,LAK,,7,BUF,,0,0,False,False
118,1513,2024020013,2,2024-10-10,FUT,13,FLA,,9,OTT,,0,0,False,False
119,8,2024020014,2,2024-10-10,FUT,5,PIT,,17,DET,,0,0,False,False
120,2222,2024020015,2,2024-10-10,FUT,10,TOR,,1,NJD,,0,0,False,False
121,1867,2024020016,2,2024-10-10,FUT,59,UTA,,2,NYI,,0,0,False,False
122,982,2024020017,2,2024-10-10,FUT,25,DAL,,18,NSH,,0,0,False,False
123,1690,2024020018,2,2024-10-10,FUT,29,CBJ,,30,MIN,,0,0,False,False
124,1780,2024020019,2,2024-10-10,FUT,19,STL,,28,SJS,,0,0,False,False
125,275,2024020020,2,2024-10-11,FUT,14,TBL,,12,CAR,,0,0,False,False
126,1335,2024020021,2,2024-10-11,FUT,16,CHI,,52,WPG,,0,0,False,False
127,364,2024020022,2,2024-10-11,FUT,4,PHI,,23,VAN,,0,0,False,False
128,1159,2024020023,2,2024-10-11,FUT,19,STL,,54,VGK,,0,0,False,False
129,99,2024020024,2,2024-10-12,FUT,26,LAK,,6,BOS,,0,0,False,False
130,1514,2024020025,2,2024-10-12,FUT,13,FLA,,7,BUF,,0,0,False,False
131,188,2024020026,2,2024-10-12,FUT,5,PIT,,10,TOR,,0,0,False,False
132,632,2024020027,2,2024-10-12,FUT,9,OTT,,8,MTL,,0,0,False,False
133,9,2024020028,2,2024-10-12,FUT,18,NSH,,17,DET,,0,0,False,False
134,276,2024020029,2,2024-10-12,FUT,12,CAR,,14,TBL,,0,0,False,False
135,1423,2024020030,2,2024-10-12,FUT,59,UTA,,3,NYR,,0,0,False,False
136,718,2024020031,2,2024-10-12,FUT,1,NJD,,15,WSH,,0,0,False,False
137,1247,2024020032,2,2024-10-12,FUT,2,NYI,,25,DAL,,0,0,False,False
138,1691,2024020033,2,2024-10-12,FUT,55,SEA,,30,MIN,,0,0,False,False
139,895,2024020034,2,2024-10-12,FUT,29,CBJ,,21,COL,,0,0,False,False
140,365,2024020035,2,2024-10-12,FUT,4,PHI,,20,CGY,,0,0,False,False
141,1336,2024020036,2,2024-10-12,FUT,16,CHI,,22,EDM,,0,0,False,False
142,1070,2024020037,2,2024-10-12,FUT,24,ANA,,28,SJS,,0,0,False,False
143,1692,2024020038,2,2024-10-13,FUT,30,MIN,,52,WPG,,0,0,False,False
144,1248,2024020039,2,2024-10-13,FUT,55,SEA,,25,DAL,,0,0,False,False
145,544,2024020040,2,2024-10-13,FUT,20,CGY,,22,EDM,,0,0,False,False
146,1071,2024020041,2,2024-10-13,FUT,24,ANA,,54,VGK,,0,0,False,False
147,100,2024020042,2,2024-10-14,FUT,13,FLA,,6,BOS,,0,0,False,False
148,1957,2024020043,2,2024-10-14,FUT,26,LAK,,9,OTT,,0,0,False,False
149,2314,2024020044,2,2024-10-14,FUT,59,UTA,,1,NJD,,0,0,False,False
150,10,2024020045,2,2024-10-14,FUT,17,DET,,3,NYR,,0,0,False,False
151,189,2024020046,2,2024-10-14,FUT,5,PIT,,8,MTL,,0,0,False,False
152,896,2024020047,2,2024-10-14,FUT,2,NYI,,21,COL,,0,0,False,False
153,277,2024020048,2,2024-10-15,FUT,23,VAN,,14,TBL,,0,0,False,False
154,719,2024020049,2,2024-10-15,FUT,54,VGK,,15,WSH,,0,0,False,False
155,454,2024020050,2,2024-10-15,FUT,1,NJD,,12,CAR,,0,0,False,False
156,1516,2024020051,2,2024-10-15,FUT,13,FLA,,29,CBJ,,0,0,False,False
157,1693,2024020052,2,2024-10-15,FUT,30,MIN,,19,STL,,0,0,False,False
158,984,2024020053,2,2024-10-15,FUT,55,SEA,,18,NSH,,0,0,False,False
159,1249,2024020054,2,2024-10-15,FUT,28,SJS,,25,DAL,,0,0,False,False
160,545,2024020055,2,2024-10-15,FUT,16,CHI,,20,CGY,,0,0,False,False
161,366,2024020056,2,2024-10-15,FUT,4,PHI,,22,EDM,,0,0,False,False
162,190,2024020057,2,2024-10-16,FUT,7,BUF,,5,PIT,,0,0,False,False
163,1958,2024020058,2,2024-10-16,FUT,26,LAK,,10,TOR,,0,0,False,False
164,101,2024020059,2,2024-10-16,FUT,6,BOS,,21,COL,,0,0,False,False
165,1072,2024020060,2,2024-10-16,FUT,59,UTA,,24,ANA,,0,0,False,False
166,634,2024020061,2,2024-10-17,FUT,26,LAK,,8,MTL,,0,0,False,False
167,2136,2024020062,2,2024-10-17,FUT,1,NJD,,9,OTT,,0,0,False,False
168,11,2024020063,2,2024-10-17,FUT,3,NYR,,17,DET,,0,0,False,False
169,278,2024020064,2,2024-10-17,FUT,54,VGK,,14,TBL,,0,0,False,False
170,809,2024020065,2,2024-10-17,FUT,23,VAN,,13,FLA,,0,0,False,False
171,720,2024020066,2,2024-10-17,FUT,25,DAL,,15,WSH,,0,0,False,False
172,2049,2024020067,2,2024-10-17,FUT,7,BUF,,29,CBJ,,0,0,False,False
173,1783,2024020068,2,2024-10-17,FUT,2,NYI,,19,STL,,0,0,False,False
174,985,2024020069,2,2024-10-17,FUT,22,EDM,,18,NSH,,0,0,False,False
175,1338,2024020070,2,2024-10-17,FUT,28,SJS,,16,CHI,,0,0,False,False
176,367,2024020071,2,2024-10-17,FUT,4,PHI,,55,SEA,,0,0,False,False
177,191,2024020072,2,2024-10-18,FUT,12,CAR,,5,PIT,,0,0,False,False
178,2401,2024020073,2,2024-10-18,FUT,28,SJS,,52,WPG,,0,0,False,False
179,898,2024020074,2,2024-10-18,FUT,24,ANA,,21,COL,,0,0,False,False
180,279,2024020075,2,2024-10-19,FUT,14,TBL,,9,OTT,,0,0,False,False
181,12,2024020076,2,2024-10-19,FUT,17,DET,,18,NSH,,0,0,False,False
182,1251,2024020077,2,2024-10-19,FUT,22,EDM,,25,DAL,,0,0,False,False
183,1163,2024020078,2,2024-10-19,FUT,54,VGK,,13,FLA,,0,0,False,False
184,1426,2024020079,2,2024-10-19,FUT,3,NYR,,10,TOR,,0,0,False,False
185,721,2024020080,2,2024-10-19,FUT,15,WSH,,1,NJD,,0,0,False,False
186,635,2024020081,2,2024-10-19,FUT,8,MTL,,2,NYI,,0,0,False,False
187,368,2024020082,2,2024-10-19,FUT,23,VAN,,4,PHI,,0,0,False,False
188,1694,2024020083,2,2024-10-19,FUT,30,MIN,,29,CBJ,,0,0,False,False
