team_abbrev,owner,season
CAR,Ani,20222023
CGY,Ani,20222023
NJD,Ani,20222023
NYI,Ani,20222023
PHI,Ani,20222023
TBL,Ani,20222023
VAN,Ani,20222023
VGK,Ani,20222023
ARI,Eric,20222023
BUF,Eric,20222023
CBJ,Eric,20222023
CHI,Eric,20222023
COL,Eric,20222023
DAL,Eric,20222023
MTL,Eric,20222023
SJS,Eric,20222023
DET,Madhav,20222023
EDM,Madhav,20222023
FLA,Madhav,20222023
NYR,Madhav,20222023
OTT,Madhav,20222023
STL,Madhav,20222023
WPG,Madhav,20222023
WSH,Madhav,20222023
ANA,Rob,20222023
BOS,Rob,20222023
LAK,Rob,20222023
MIN,Rob,20222023
NSH,Rob,20222023
PIT,Rob,20222023
SEA,Rob,20222023
TOR,Rob,20222023
DAL,Ani,20232024
DET,Ani,20232024
NJD,Ani,20232024
NYR,Ani,20232024
PHI,Ani,20232024
STL,Ani,20232024
TBL,Ani,20232024
WSH,Ani,20232024
BUF,Eric,20232024
CAR,Eric,20232024
FLA,Eric,20232024
PIT,Eric,20232024
SEA,Eric,20232024
SJS,Eric,20232024
VAN,Eric,20232024
VGK,Eric,20232024
ANA,Madhav,20232024
CBJ,Madhav,20232024
CGY,Madhav,20232024
CHI,Madhav,20232024
MIN,Madhav,20232024
NSH,Madhav,20232024
TOR,Madhav,20232024
WPG,Madhav,20232024
ARI,Rob,20232024
BOS,Rob,20232024
COL,Rob,20232024
EDM,Rob,20232024
LAK,Rob,20232024
MTL,Rob,20232024
NYI,Rob,20232024
OTT,Rob,20232024
BOS,Ani,20242025
BUF,Ani,20242025
EDM,Ani,20242025
OTT,Ani,20242025
SEA,Ani,20242025
SJS,Ani,20242025
STL,Ani,20242025
TBL,Ani,20242025
CBJ,Eric,20242025
DET,Eric,20242025
FLA,Eric,20242025
LAK,Eric,20242025
NSH,Eric,20242025
NYI,Eric,20242025
VAN,Eric,20242025
WSH,Eric,20242025
CGY,Madhav,20242025
CHI,Madhav,20242025
COL,Madhav,20242025
NJD,Madhav,20242025
PHI,Madhav,20242025
TOR,Madhav,20242025
UTA,Madhav,20242025
WPG,Madhav,20242025
ANA,Rob,20242025
CAR,Rob,20242025
DAL,Rob,20242025
MIN,Rob,20242025
MTL,Rob,20242025
NYR,Rob,20242025
PIT,Rob,20242025
VGK,Rob,20242025
ANA,Ani,20252026
BUF,Ani,20252026
DAL,Ani,20252026
NJD,Ani,20252026
STL,Ani,20252026
TOR,Ani,20252026
UTA,Ani,20252026
VAN,Ani,20252026
CBJ,Eric,20252026
COL,Eric,20252026
EDM,Eric,20252026
LAK,Eric,20252026
MTL,Eric,20252026
NSH,Eric,20252026
VGK,Eric,20252026
WSH,Eric,20252026
BOS,Madhav,20252026
CAR,Madhav,20252026
CHI,Madhav,20252026
NYI,Madhav,20252026
NYR,Madhav,20252026
PHI,Madhav,20252026
SJS,Madhav,20252026
WPG,Madhav,20252026
CGY,Rob,20252026
DET,Rob,20252026
FLA,Rob,20252026
MIN,Rob,20252026
OTT,Rob,20252026
PIT,Rob,20252026
SEA,Rob,20252026
TBL,Rob,20252026
