,id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.id,awayTeam.placeName.default,awayTeam.abbrev,awayTeam.logo,awayTeam.score,homeTeam.id,homeTeam.placeName.default,homeTeam.abbrev,homeTeam.logo,homeTeam.score,winnerId,loserId,cupGame,nextGame
0,2024020001,20242025,2,2024-10-04,2024-10-04 17:00:00+00:00,OFF,1,New Jersey,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,4,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,1,1,7,False,False
1,2024020002,20242025,2,2024-10-05,2024-10-05 14:00:00+00:00,OFF,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,1,1,New Jersey,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,3,1,7,False,False
2,2024020003,20242025,2,2024-10-08,2024-10-08 20:30:00+00:00,OFF,19,St. Louis,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,3,55,Seattle,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,2,19,55,False,False
3,2024020004,20242025,2,2024-10-08,2024-10-08 23:00:00+00:00,OFF,6,Boston,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,4,13,Florida,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,6,13,6,True,False
4,2024020005,20242025,2,2024-10-08,2024-10-09 02:00:00+00:00,OFF,16,Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,2,59,Utah,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,5,59,16,False,False
5,2024020006,20242025,2,2024-10-09,2024-10-09 23:00:00+00:00,OFF,10,Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,8,Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,1,8,10,False,False
6,2024020007,20242025,2,2024-10-09,2024-10-09 23:30:00+00:00,OFF,3,New York,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,6,5,Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,3,5,False,False
7,2024020008,20242025,2,2024-10-09,2024-10-10 02:00:00+00:00,OFF,52,Winnipeg,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,6,22,Edmonton,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,0,52,22,False,False
8,2024020009,20242025,2,2024-10-09,2024-10-10 02:00:00+00:00,OFF,20,Calgary,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,6,23,Vancouver,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,5,20,23,False,False
9,2024020010,20242025,2,2024-10-09,2024-10-10 02:00:00+00:00,OFF,21,Colorado,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,4,54,Vegas,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,8,54,21,False,False
