,triCode,owner,season,league
0,CAR,Ani,20222023,lord_stanley
1,CGY,Ani,20222023,lord_stanley
2,NJD,Ani,20222023,lord_stanley
3,NYI,Ani,20222023,lord_stanley
4,PHI,Ani,20222023,lord_stanley
5,TBL,Ani,20222023,lord_stanley
6,VAN,Ani,20222023,lord_stanley
7,VGK,Ani,20222023,lord_stanley
8,ARI,Eric,20222023,lord_stanley
9,BUF,Eric,20222023,lord_stanley
10,CBJ,Eric,20222023,lord_stanley
11,CHI,Eric,20222023,lord_stanley
12,COL,Eric,20222023,lord_stanley
13,DAL,Eric,20222023,lord_stanley
14,MTL,Eric,20222023,lord_stanley
15,SJS,Eric,20222023,lord_stanley
16,DET,Madhav,20222023,lord_stanley
17,EDM,Madhav,20222023,lord_stanley
18,FLA,Madhav,20222023,lord_stanley
19,NYR,Madhav,20222023,lord_stanley
20,OTT,Madhav,20222023,lord_stanley
21,STL,Madhav,20222023,lord_stanley
22,WPG,Madhav,20222023,lord_stanley
23,WSH,Madhav,20222023,lord_stanley
24,ANA,Rob,20222023,lord_stanley
25,BOS,Rob,20222023,lord_stanley
26,LAK,Rob,20222023,lord_stanley
27,MIN,Rob,20222023,lord_stanley
28,NSH,Rob,20222023,lord_stanley
29,PIT,Rob,20222023,lord_stanley
30,SEA,Rob,20222023,lord_stanley
31,TOR,Rob,20222023,lord_stanley
32,NJD,Ani,20232024,lord_stanley
33,DAL,Ani,20232024,lord_stanley
34,TBL,Ani,20232024,lord_stanley
35,NYR,Ani,20232024,lord_stanley
36,STL,Ani,20232024,lord_stanley
37,WSH,Ani,20232024,lord_stanley
38,DET,Ani,20232024,lord_stanley
39,PHI,Ani,20232024,lord_stanley
40,VGK,Eric,20232024,lord_stanley
41,FLA,Eric,20232024,lord_stanley
42,CAR,Eric,20232024,lord_stanley
43,SEA,Eric,20232024,lord_stanley
44,PIT,Eric,20232024,lord_stanley
45,BUF,Eric,20232024,lord_stanley
46,VAN,Eric,20232024,lord_stanley
47,SJS,Eric,20232024,lord_stanley
48,TOR,Madhav,20232024,lord_stanley
49,CGY,Madhav,20232024,lord_stanley
50,WPG,Madhav,20232024,lord_stanley
51,MIN,Madhav,20232024,lord_stanley
52,CBJ,Madhav,20232024,lord_stanley
53,NSH,Madhav,20232024,lord_stanley
54,ANA,Madhav,20232024,lord_stanley
55,CHI,Madhav,20232024,lord_stanley
56,EDM,Rob,20232024,lord_stanley
57,COL,Rob,20232024,lord_stanley
58,BOS,Rob,20232024,lord_stanley
59,LAK,Rob,20232024,lord_stanley
60,OTT,Rob,20232024,lord_stanley
61,NYI,Rob,20232024,lord_stanley
62,ARI,Rob,20232024,lord_stanley
63,MTL,Rob,20232024,lord_stanley
64,EDM,Ani,20242025,lord_stanley
65,BOS,Ani,20242025,lord_stanley
66,TBL,Ani,20242025,lord_stanley
67,SEA,Ani,20242025,lord_stanley
68,BUF,Ani,20242025,lord_stanley
69,STL,Ani,20242025,lord_stanley
70,OTT,Ani,20242025,lord_stanley
71,SJS,Ani,20242025,lord_stanley
72,FLA,Eric,20242025,lord_stanley
73,NSH,Eric,20242025,lord_stanley
74,VAN,Eric,20242025,lord_stanley
75,LAK,Eric,20242025,lord_stanley
76,DET,Eric,20242025,lord_stanley
77,NYI,Eric,20242025,lord_stanley
78,WSH,Eric,20242025,lord_stanley
79,CBJ,Eric,20242025,lord_stanley
80,COL,Madhav,20242025,lord_stanley
81,NJD,Madhav,20242025,lord_stanley
82,TOR,Madhav,20242025,lord_stanley
83,WPG,Madhav,20242025,lord_stanley
84,CGY,Madhav,20242025,lord_stanley
85,UTA,Madhav,20242025,lord_stanley
86,PHI,Madhav,20242025,lord_stanley
87,CHI,Madhav,20242025,lord_stanley
88,DAL,Rob,20242025,lord_stanley
89,NYR,Rob,20242025,lord_stanley
90,CAR,Rob,20242025,lord_stanley
91,VGK,Rob,20242025,lord_stanley
92,PIT,Rob,20242025,lord_stanley
93,MIN,Rob,20242025,lord_stanley
94,MTL,Rob,20242025,lord_stanley
95,ANA,Rob,20242025,lord_stanley
