,id,franchiseId,fullName,leagueId,rawTricode,triCode
0,32,27,Quebec Nordiques,133,QUE,QUE
1,8,1,Montréal Canadiens,133,MTL,MTL
2,58,5,Toronto St. Patricks,133,TSP,TSP
3,7,19,Buffalo Sabres,133,BUF,BUF
4,46,13,Oakland Seals,133,OAK,OAK
5,48,23,Kansas City Scouts,133,KCS,KCS
6,2,22,New York Islanders,133,NYI,NYI
7,36,3,Ottawa Senators (1917),133,SEN,SEN
9,11,35,Atlanta Thrashers,133,ATL,ATL
10,45,3,St. Louis Eagles,133,SLE,SLE
11,33,28,Winnipeg Jets (1979),133,WIN,WIN
12,28,29,San Jose Sharks,133,SJS,SJS
13,42,4,Quebec Bulldogs,133,QBD,QBD
14,29,36,Columbus Blue Jackets,133,CBJ,CBJ
15,53,28,Arizona Coyotes,133,ARI,ARI
16,5,17,Pittsburgh Penguins,133,PIT,PIT
17,13,33,Florida Panthers,133,FLA,FLA
18,12,26,Carolina Hurricanes,133,CAR,CAR
19,54,38,Vegas Golden Knights,133,VGK,VGK
20,25,15,Dallas Stars,133,DAL,DAL
21,52,35,Winnipeg Jets,133,WPG,WPG
22,14,31,Tampa Bay Lightning,133,TBL,TBL
23,59,40,Utah Hockey Club,133,UTA,UTA
24,18,34,Nashville Predators,133,NSH,NSH
25,27,28,Phoenix Coyotes,133,PHX,PHX
26,41,2,Montreal Wanderers,133,MWN,MWN
27,39,9,Philadelphia Quakers,133,QUA,QUA
28,37,4,Hamilton Tigers,133,HAM,HAM
29,40,12,Detroit Cougars,133,DCG,DCG
30,35,23,Colorado Rockies,133,CLR,CLR
31,38,9,Pittsburgh Pirates,133,PIR,PIR
32,34,26,Hartford Whalers,133,HFD,HFD
33,4,16,Philadelphia Flyers,133,PHI,PHI
34,1,23,New Jersey Devils,133,NJD,NJD
35,9,30,Ottawa Senators,133,OTT,OTT
36,21,27,Colorado Avalanche,133,COL,COL
37,44,8,New York Americans,133,NYA,NYA
38,55,39,Seattle Kraken,133,SEA,SEA
39,15,24,Washington Capitals,133,WSH,WSH
40,24,32,Anaheim Ducks,133,ANA,ANA
41,31,15,Minnesota North Stars,133,MNS,MNS
42,26,14,Los Angeles Kings,133,LAK,LAK
43,23,20,Vancouver Canucks,133,VAN,VAN
45,30,37,Minnesota Wild,133,MIN,MIN
46,43,7,Montreal Maroons,133,MMR,MMR
47,49,13,Cleveland Barons,133,CLE,CLE
48,51,8,Brooklyn Americans,133,BRK,BRK
49,50,12,Detroit Falcons,133,DFL,DFL
50,56,13,California Golden Seals,133,CGS,CGS
51,10,5,Toronto Maple Leafs,133,TOR,TOR
52,3,10,New York Rangers,133,NYR,NYR
53,22,25,Edmonton Oilers,133,EDM,EDM
54,47,21,Atlanta Flames,133,AFM,AFM
55,57,5,Toronto Arenas,133,TAN,TAN
56,20,21,Calgary Flames,133,CGY,CGY
57,6,6,Boston Bruins,133,BOS,BOS
58,19,18,St. Louis Blues,133,STL,STL
59,16,11,Chicago Blackhawks,133,CHI,CHI
60,17,12,Detroit Red Wings,133,DET,DET
